id,String,topic,type
1,Which of the following are components of an information system?,Introduction to Information Processing,MC
2,Which of the following is an example of data collection?,Introduction to Information Processing,MC
3,Which of the following personnels is responsible for performing backup of an information system?,Introduction to Information Processing,MC
4,Which of the following is not a valid way to improve students' information literacy?,Introduction to Information Processing,MC
5,Which of the following is/are (a) method(s) of control that ensures the reasonableness of the data input?,Data Organisation and Data Control,MC
6,The same parity check has been applied in the transmission of the following 8-bit data. One of the data received is erroneous. Which one is ,Data Organisation and Data Control,MC
7,"There are 60,000 employees in a company. What is the minimum number of bits to represent the staff ID of all employee",Number System,MC
8,The following binary numbers are represented in 8-bit two's complement. Arrange thefollowing numbers in ascending order.,Number System,MC
9,Which of the following statements regarding character coding system is/are correct?,Number System,MC
10,"The following is a 6x6 display board. Each pixel, represented by 2 bits each, has 4 states:red, green, blue, and off. How many patterns can this display board illustrate?",Number System,MC
11,The following are 3 arithmetic operations on 2 8-bits numbers using two's complement representation. Which of the following will result in (an) overflow error(s)?,Number System,MC
12,"When creating a database table to store students' information, Peter does not use the students' telephone number as the primary key. Why not?",Data Organisation and Data Control,MC
13,"In a system, 2 bytes and 4 bytes are used to stored a character and an integer respectively. How many bytes are required to store the string ""ROAST 101"" ?",Number System,MC
14,An old display only supports displaying 256 colours. How many bits are required to represent 256 colours?,Number System,MC
15,A gym room uses an 8-digit number to represent the membership number. The first 2 digit represents the year the member joins the gym room. What are the maximum number of members that can be join in year 2021 ?,Number System,MC
16,"Given that the ASCII code for the character 'J' is 4A, the ASCII code 47 represents the character (ANS).",Number System,MC
17,Which of the following statements regarding character encoding is/are correct?,Number System,MC
18,"Using sign-and-magnitude, what is the smallest number that can be represented by 4 bits?",Number System,MC
19,Which of the following is a reason of representing number in hexadecimal instead of binary?,Number System,MC
20,Which of the following 8-bit two's complement representation represents a negative even number?,Number System,MC
21,Give the difference between data and information.,Introduction to Information Processing,LQ
22,Briefly describe the responsibility of a system analyst.,Introduction to Information Processing,LQ
23,"For each of the arithmetic operations, determine the result if 8-bit two's complement is used. Write down the decimal representation of the result, or ""O/F"" if an overflow error occurs.",Number System,LQ
24,James is designing a web site for his company based in the United Kingdom. He is deciding which character encoding system he should use. Give an advantage of using Unicode for his web site. Give a disadvantage of using Unicode for his web site.,Number System,LQ
25,He is designing a member registration page for the web site. The following shows a snippet of the registration form. Explain the purpose of asking the user to re-enter their password during registration.,Data Organisation and Data Control,LQ
26,"He is designing a member registration page for the web site. The following shows a snippet of the registration form. Because of the relevant laws, users must be at least 16 years old to be allowed to register. Suggest a method so that James can control the registration.",Data Organisation and Data Control,LQ
27,"Paul is developing a ticket purchasing system for a cinema. Customers can purchase tickets by using the mobile application or visiting a web site. Explain, briefly, why should the transactions be stored in a centralised database.",Data Organisation and Data Control,LQ
28,Paul is developing a ticket purchasing system for a cinema. Customers can purchase tickets by using the mobile application or visiting a web site. Give an advantage of using the  mobile application instead of the web site.,"Data Organisation and Data Control, Introduction to Information Processing",LQ
29,Paul is developing a ticket purchasing system for a cinema. Customers can purchase tickets by using the mobile application or visiting a web site. Give an advantage of using the web site instead of the mobile application.,"Data Organisation and Data Control, Introduction to Information Processing",LQ
30,"To purchase the tickets for a movie, children, and student. The numbers entered must be an integer. Suggest another data validation technique.",Data Organisation and Data Control,LQ
31,Paul is considering using parity check in validating the ticket number. Do you agree? Explain briefly.,Data Organisation and Data Control,LQ
32,"Each seats have the following 3 states: free, reserved, and occupied. Paul uses 2 bits to represent the states as follows. What does the bit pattern 0110 1001 0000 0110 represent?",Number System,LQ
33,"Each seats have the following 3 states: free, reserved, and occupied. Paul uses 2 bits to represent the states as follows. Write down the bit pattern that represents the following row.",Number System,LQ
34,What does the bit pattern 01000101 10000001 00000010 represent?,Number System,LQ
35,Write down the shortest bit pattem that can represent the following row.,Number System,LQ
36,"To facilitate the development, Paul decides to represent the bit pattern in (e) using hexadecimal number. Write down the hexadecimal representation of the bit pattern 01000101 10000001 00000010.",Number System,LQ
37,What does the hexadecimal representation of the bit pattern 02 84 42 represents?,Number System,LQ
38,"In a particular house of a cinema, there are 20 rows with 20 seats each. Using the encoding scheme in (d), what is the number of bytes required to represent all seats?",Number System,LQ
39,"In a particular house of a cinema, there are 20 rows with 20 seats each. Using the encoding scheme in (e), what is the minimum number of bytes required to encode all seats?",Number System,LQ
40,"There are a 500 GB hard disk on the database server, of which 100 GB are reserved for the operating system and application programmes. Assume that each transaction consists of 2 tickets, what is the maximum number of records that can be stored on this system?",Number System,LQ
41,Which of the following is/are not (a) common video file format(s)?,Multimedia Elements,MC
42,"When recording an instrument, Alice uses WAV instead of MP3 as the file format. Which of the following is/are (a) possible reason(s) for Alice's choice?",Multimedia Elements,MC
43,"To convert an analogue signal to digital signal, which of the following actions must be performed?",Multimedia Elements,MC
44,A piece of music is converted from analogue signal to digital signal. Which of the following statement is not correct?,Multimedia Elements,MC
45,Bob uses vector graphics instead of bitmap image for an image for his web site. Which of the followin is/area ssible reason s for this choice?,Multimedia Elements,MC
46,Which of the following is/are (an) example(s) of converting digital data to analogue data?,Multimedia Elements,MC
47,Clara wants to apply the same style to all slides of a presentation. Which of the following is the most efficient way to achieve this?,"Word Presentation, Data Manipulation and Analysis",MC
48,"James wants to add a copy of X.xlsx to Y.pptx using Object Linking and Embedding (OLE) so that he can present a series of data to his boss. However, before the presentation, data in X.xlsx has been updated. James finds that the data in Y.pptx has not been updated. Which of the following statement is correct?",Data Manipulation and Analysis,MC
49,Brian creates a portable document format (PDF) file instead of a word for his report. Which of the following is/are (a) possible reason(s) for using PDF file instead of a word document?,Word Presentation,MC
50,Cathy wants to a text file with formatting styles and cross-platform functionality. Which of the following file extensions can she choose?,Word Presentation,MC
51,"George is a mathematics teacher. He is creating a presentation file for his students. He adds a hyper link to a slide, which links to some additional materials. Which of the following options can be linked the her link?",Data Manipulation and Analysis,MC
52,Which of the following font formatting features has Oscar applied?,Word Presentation,MC
53,Oscar has manually inserted the character 'l' in superscript. Which of the following features can he use so that the process can be performed automatically?,Word Presentation,MC
54,Which of the following operations will likely decrease the number of pages in a document file?,Word Presentation,MC
55,"When creating a document, Joseph mistakenly typed the word DNS as DSN. Which of the following functions can he used to correct the mistakes efficiently?",Word Presentation,MC
56,Which ofthe following is not an advantage of using a software suite in an office environment?,Data Manipulation and Analysis,MC
57,Give an advantage of using PDF over DOCX.,Word Presentation,LQ
58,Give an advantage of using DOCX over PDF.,Word Presentation,LQ
59,Give an advantage of using JPG over BMP.,Multimedia Elements,LQ
60,Give an advantage of using BMP over JPG,Multimedia Elements,LQ
61,"Clara is a store manager. She wants to create some customised letters for her customers. She has prepared the customer's data and their personalised content in A.xlsx, and the template of the letter in B.docx. Explain how can she prepare these letters efficiently.","Word Presentation, Data Manipulation and Analysis",LQ
62,"Joseph is developing an image sharing sites. Users of the image sharing sites can upload photos of cats to web site, and share their photos to other users. Explain, briefly, the difference between bitmap image and vector graphics",Multimedia Elements,LQ
63,"Alice uploads a photo of her cat to the web site, and send the hyperlink of the photo to Bob. When Bob downloads the photo, he finds that the file size is smaller than Alice's original photo. Explain, briefly, how the lowered file size is accomplished",Multimedia Elements,LQ
64,"Alice uploads a photo of her cat to the web site, and send the hyperlink of the photo to Bob. When Bob downloads the photo, he finds that the file size is smaller than Alice's original photo.  Give two advantages of lowering the file size.",Multimedia Elements,LQ
65,Calculate the aspect ratio of the photo.,Multimedia Elements,LQ
66,"Joseph expects that on average 15 photos will be uploaded to the web site every day. Assuming all photos are uncompressed, estimate the storage required to store the photos for a year. Show your calculation and express your answer in GB.",Multimedia Elements,LQ
67,"Without allocating more storage nor applying compression, suggest two methods to reduce the file size of the photos.",Multimedia Elements,LQ
68,Tom wants to keep each video file under 50 GB. What is the maximum duration of each video? Show your calculation and express your answer in seconds.,Multimedia Elements,LQ
69,Tom plans to use Object Linking and Embedding (OLE) to integrate the video file with the presentation file. Describe the major difference between object linking and object embedding.,Data Manipulation and Analysis,LQ
70,"Instead of using a PPTX file, Tom decides to abandon the use of OLE and uses a HTML file instead. Give two advantages of using HTML instead of PPTX for the presentation.","Word Presentation, Data Manipulation and Analysis",LQ
71," Tom also creates a set of teaching notes in DOCX so that students can follow along in the lesson. However, he notices that some students are lost because they cannot find the pages of a particular topic. How can Tom modify his notes to include a page with hyperlinks to different chapters of the notes?",Word Presentation,LQ
72,Jake is storing the telephone number of members of a gym centre in a spreadsheet. Which of the following cell formats can he use?,Spreadsheet,MC
73,"Peter is selecting a chart to represent the number of students who take minibuses, buses, and subway to leave school. Which of the following spreadsheet chart should Peter use?",Spreadsheet,MC
74,A database server is operated on by Alice and Bob concurrently. Alice wants to execute query S1 and Bob wants to execute query S2 to a database table T on this server. Which of the following scenario may cause (an) issue(s)?,Database,MC
75,Which of the following operations has not been performed by the following SQL statement?,Database,MC
76,Which of the following spreadsheet functions can be used to achieve this?,Spreadsheet,MC
77, Referring to the following spreadsheet. What is the output of the following formula?,Spreadsheet,MC
78,Study the following SQL statement. Which of the following is the major advantage of using a data entry form in a database management system?,Database,MC
79,"Study the following SQL statement. When James execute the above SQL statement, he finds that the database returns no results. Which of the following are possible reason(s)?",Database,MC
80,"If the database table DAILY_TRANSACTIONS is exported into a spreadsheet, which of the following is a spreadsheet features that can produce a similar result to the SQL statement?",Database,MC
81,Which of the following statements regarding cell reference of a spreadsheet file is correct?,Spreadsheet,MC
82,Which of the following are required when creating a database table?,Database,MC
83,Consider the spreadsheet below. What is the output of the following formula?,Spreadsheet,MC
84,Which of the following spreadsheet functions will yield the same result?,Spreadsheet,MC
85,Jake wants to create an application to allow citizens order taxis through a mobile application. Which of the following software does he need?,"Spreadsheet, Database",MC
86,Considering the following spreadsheet. What is the output of the following formula?,Spreadsheet,MC
87,Consider the following spreadsheet. What is the output of the following formula?,Spreadsheet,MC
88,"In spreadsheet, which of the following can join two texts together?",Spreadsheet,MC
89,"On each product of a supermarket, a bar code is printed on the product. Which of the following is/are essential to be represented by the bar code?","Spreadsheet, Database",MC
90,"Consider the following database table, STUDENT. Which of the following values comes first in the output of the following SQL command?",Database,MC
91,"Consider the following database table, EMPLOYEE. What values will be included in the output of the following SQL statement?",Database,MC
92,Give a reason why students' dates of birth should be stored in a database table instead of their ages.,Database,LQ
93,"Give a reason why students' phone number should not be used as the primary key of the database table STUDENT, where student's personal information are stored.",Database,LQ
94,"Give a reason why the HKID card number of a member should not be used as the primary key of the database table MEMBER, where personal information of members of a gym club are stored.",Database,LQ
95,Susan wants to quick generate a sequence of number from 1 to 1000. Suggest a spreadsheet function to achieve it and briefly describe the steps to obtain the sequence.,Spreadsheet,LQ
96,"Tom is predicting the best price for his brand new products. He wants to estimate a number of cases of different selling prices and sales volume, and how these cases affect the final profit. Suggest a spreadsheet function to achieve this and briefly describe the steps to obtain the result.",Spreadsheet,LQ
97,"When a car enters and leaves a car park, the system will identifies the licence plate number of the car. The driver will tap their Octopus Card to enter and leaves the car park. The database table, PARK, has the following 6 records. Give an example to illustrate why L_NUM cannot be used as the primary key for PARK.",Database,LQ
98,"When a car enters and leaves a car park, the system will identifies the licence plate number of the car. The driver will tap their Octopus Card to enter and leaves the car park. The database table, PARK, has the following 6 records. Give an example to illustrate why OUT_TIME cannot be used as the primary key for PARK.",Database,LQ
99,"When a car enters and leaves a car park, the system will identifies the licence plate number of the car. The driver will tap their Octopus Card to enter and leaves the car park. The database table, PARK, has the following 6 records. Give the primary key for PARK.",Database,LQ
100,"When a car enters and leaves a car park, the system will identifies the licence plate number of the car. The driver will tap their Octopus Card to enter and leaves the car park. The database table, PARK, has the following 6 records. Based on the 6 records given in PARK, what is the output after executing the following SQL command?",Database,LQ
101,"Based on the database table PARK, a spreadsheet is created. Clara, a manager of the car park, wants to enters the following formula in F2, and then copies it to F3:F1009. What is the value of F6?",Spreadsheet,LQ
102,What is the purpose of the ROUNDUP function?,Spreadsheet,LQ
103,Clara wants to calculate the total fee of each parking records by writing a formula in G2. The fee is calculated by multiplying the duration with the respective CAR_TYPE's fee. The formula written in G2 will be copied to G3:G1009. Write the formula for G2. ,Spreadsheet,LQ
104,Write a spreadsheet formula to calculate the number of male (M) students in this spreadsheet.,Spreadsheet,LQ
105,"If the student obtains at least 70 marks in the interview (I_SCORE), he or she gets a 1 in GOOD. If the student obtains at least 90 marks in the interview, he or she gets a 2 in GOOD. Otherwise, the student gets a 0 in GOOD. Write a spreadsheet formula in F2, which will then be copied to F3:F111, to achieve this.",Spreadsheet,LQ
106,"Lee Li Li has an interview score of -1 because she was absent from the interview. Before doing computation work on this spreadsheet, what precaution should be taken?",Spreadsheet,LQ
107,"Mr Chan, a teacher of the school, attempts to use a pivot table to obtain the average interview score of gender vs. class. Complete the following steps for creating the pivot table.",Spreadsheet,LQ
108,Suggest a primary key for INTERVIEW.,Database,LQ
109,Suggest a data type for I_SCORE.,Database,LQ
110,The following SQL command is executed. What is the expected output based on the 5 records in INTERVIEW?,Database,LQ
111,What is the purpose of the SQL command?,Database,LQ
112,Which of the following statements regarding cache memory of a CPU is/are correct?,System Unit of a Computer System,MC
113,Which of the following is/are (an) advantage(s) of using a solid-state disk (SSD) over a traditional hard disk?,Secondary Storage Devices,MC
114,James is digitising some photos using a scanner. Which of the following settings will affect the quality of the scanned photos?,Input and Output Devices,MC
115,Citizens can book for vaccination through a web site. Citizens can select the timeslot for the booking they want that still have quotas. Which of the following modes of operation best describe this system?,Computer System,MC
116,"During the fetch phase of the instruction cycle, which of the following components are involved?",System Unit of a Computer System,MC
117,"Dave is editing some video files, and he finds the rendering process is very time-consuming. Which of the following components should he consider upgrading?",System Unit of a Computer System,MC
118,Which of the following is a system software?,System Software,MC
119,Alice is consider buying a monitor. Which of the following should she consider?,Input and Output Devices,MC
120,Which of the following is/are common connection method(s) for mouses?,Input and Output Devices,MC
121,Which of the following help check for errors in a hard disk drive?,System Software,MC
122,Which of the following statements regarding CPU registers is correct?,System Unit of a Computer System,MC
123,Which of the following statements regarding the clock rate and clock cycle of a CPU is correct?,System Unit of a Computer System,MC
124,Which of the following are functions typically provided by an operating system?,System Software,MC
125,Which of the following are benefits of compressing files into ZIP before transmitting them through the Internet?,System Software,MC
126,The following files are compressed into ZIP. Which compression will achieve the smallest compression ratio?,"System Software, Multimedia Elements",MC
127,Which of the following can you likely find on a specification of a printer?,System Unit of a Computer System,MC
128,Which of the following is not a common specification of a Central Processing Unit (CPU)?,System Unit of a Computer System,MC
129,A user can watch video and edit a spreadsheet file at the same time. Which of the following best describe this operation?,System Software,MC
130,Suppose the ROM of a computer is damaged. Which of the following statement is correct?,System Unit of a Computer System,MC
131,What kind of memory should be used in the portable device? Explain briefly.,Secondary Storage Devices,LQ
132,"Other than the storage capacity and physical size, give two major design consideration of the portable device.",Secondary Storage Devices,LQ
133,"Bob, an analyst, suggests installing the operating system on the ROM of the portable device. Do you agree? Explain briefly why or why not.",System Unit of a Computer System,LQ
134,Components of the portable device follows the following relationship. The arrow illustrate the direction of data flow. Draw two arrows that are missing on the diagram.,System Unit of a Computer System,LQ
135,"Which mode of processing, batch processing, real-time processing, distributed processing, or parallel processing, best describe this operation? Explain briefly.",Computer System,LQ
136,"Participants can submit their registration through a mobile application. Despite providing the same functionalities, multiple versions of the mobile application have to be developed. Why?",System Software,LQ
137,Give two technical consideration when developing the mobile application.,"Input and Output Devices, Secondary Storage Devices",LQ
138,Give a difference between flash memory and RAM.,System Unit of a Computer System,LQ
139,Give a difference between flash memory and ROM.,System Unit of a Computer System,LQ
140,"The CPU of X includes 10 cores 20 threads. Explain, briefly, what do ""10 cores"" and ""20 threads"" mean respectively.",System Unit of a Computer System,LQ
141,Give an advantage of overclocking the CPU.,System Unit of a Computer System,LQ
142,Give an advantage of underclocking the CPU.,System Unit of a Computer System,LQ
143,Computer X has both a hard disk and a solid-state drive (SSD). Should the operating system be installed on the hard disk or the SSD? Explain your answer briefly.,Secondary Storage Devices,LQ
144,Computer X has both USB-A and USB-C ports. Give two differences between USB-A and USB-C.,Secondary Storage Devices,LQ
145,Give one biometric authentication device that can be installed on the computers.,Input and Output Devices,LQ
146,Kelvin plans to buy either computer X or Y for video editing. Which computer should Kelvin choose? Give two reasons to support your choice.,System Unit of a Computer System,LQ
147,Give two differences between application software and system software.,System Software,LQ
148,Suppose James will run this algorithm thousands of times with N >= 64 on his desktop computer. He wants to improve the execution efficiency significantly. James increases the storage capacity of RAM but finds out that it does not help. Why not?,System Unit of a Computer System,LQ
149,Give a hardware component that James should upgrade.,System Unit of a Computer System,LQ
150,James does not use system software to create the application programme. Why not? Explain your answer with the functions of system software.,System Software,LQ
151,"After the fetch phase of this instruction, what are the values stored in the following components? Memory Address Register (MAR): ",System Unit of a Computer System,LQ
152,"After the fetch phase of this instruction, what are the values stored in the following components?  Memory Data Register (MDR):",System Unit of a Computer System,LQ
153,"After the fetch phase of this instruction, what are the values stored in the following components? Memory address 0100 1001:",System Unit of a Computer System,LQ
154,How many different values can be represented by the memory addresses in the computer?,System Unit of a Computer System,LQ
155,"During the creation of the application programme, James is running out of storage space. He attempts to use defragmentation software, but it does not resolve the issues. Why not?","System Software, Secondary Storage Devices",LQ
156,James prefers using keyboard and mouse over a touch screen while creating the application programme. Give an advantage of using keyboard and mouse over a touch screen.,Input and Output Devices,LQ
157,In which hardware component should James store the source code of the programme?,"Secondary Storage Devices, System Unit of a Computer System",LQ
158,Mark is considering the memory cache and bus system of the server. Give the functions of memory cache and bus system respectively.,System Unit of a Computer System,LQ
159,"Apart from hard disk, memory cache, and bus system, give two major hardware items that Mark should consider.",System Unit of a Computer System,LQ
160,Mark chooses thermal printers over ink-jet printers for the POS terminals. Give two reasons to support his choice.,Input and Output Devices,LQ
161,Company A has produced a refrigerator that can be connected with smart phones through a local area network. Which of the following must be used?,Networking and Internet Basics,MC
162,Suppose the refrigerator connects to the Internet through the local area network. Which of the following is a potential advantage of the connection?,Networking and Internet Basics,MC
163,Amy receives an email for which her email address is listed in the 'BCC' field. Which of the following is a possible reason for putting her email address in the 'BCC' field?,Internet Services and Applications,MC
164,"In HTML, which of the following are attributes of an image (img)?",Elementary Web Authoring,MC
165,Which of the following is/are (a) function(s) of router?,Networking and Internet Basics,MC
166,Bobby wants to access the computer of his office using his home computer. Which of the following statement is/are correct?,"Internet Services and Applications, Networking and Internet Basics",MC
167,Which of the following statements regarding Uniform Resource Locator (URL) is correct?,Networking and Internet Basics,MC
168,ABC Co. Ltd. is a company that provides online lessons through streaming. The company needs an Internet access method that guarantees a high bandwidth and provides a reliable connection. Which of the following Internet access methods should the company choose?,Networking and Internet Basics,MC
169,Arrange the following transmission media in ascending order of effective data transfer rate.,Networking and Internet Basics,MC
170,"Instead of using a domain name, the company requires the employees to use the IP address to access the Intranet. Which of the following are advantages of this arrangement?",Networking and Internet Basics,MC
171,"Peter wants to watch a video stream from a web site. However, the video fails to play. Which of the following are possible reasons for the failure?",Networking and Internet Basics,MC
172,Clara needs to conduct a presentation about snooker. She is searching the Internet for relevant information to include in the presentation. What should Clara consider when using the information from the Internet?,Internet Services and Applications,MC
173,Which of the following should Clara do to increase the relevancy of her search?,Internet Services and Applications,MC
174,Which of the following statements about streaming is/are correct?,Internet Services and Applications,MC
